Channel_Code,Hashcode,Title,Start,Length
c192,40879f1ca12bf114909787b75ffe63b7f9d9ca46,TFou,20220101063000,135
c192,520603e39b18da0132e8b5167d7c8b7883bc5af7,Baby Boss,20220101084500,100
c192,a930d75efda7e3d6129ec6c827e1ccc0cda9d770,"Moi, moche et méchant 2",20220101102500,90
c192,f4b0601b478faf1cc58738a26c3b2571899bf25b,Petits plats en équilibre,20220101115500,5
c192,2e1e5810b9611296a3f2973851f49f2d2a4d85cf,Les douze coups de midi,20220101120000,50
c192,f4b0601b478faf1cc58738a26c3b2571899bf25b,Petits plats en équilibre,20220101125000,5
c192,6751b3a8a71ffd38fcc42f9c8ef2c50fcad19589,Météo,20220101125500,5
c192,833ce1f5c0498df44d8d3e242991e26ff966886e,Journal,20220101130000,40
c192,038f66643efec2e8c69144278aaad6950abffbba,Grands reportages,20220101134000,70
c192,ed9df14ad6f3044d9f24795025f320767d4e25e5,Reportages découverte,20220101145000,80
c192,7f192757276c066b6755afe8bc104249d37d52e9,Les docs du week-end,20220101161000,80
c192,6c32d5a08b5eab461c44c137efd2914ddd409eef,50mn Inside,20220101173000,75
c192,6c32d5a08b5eab461c44c137efd2914ddd409eef,50mn Inside,20220101184500,65
c192,f4b0601b478faf1cc58738a26c3b2571899bf25b,Petits plats en équilibre,20220101195000,5
c192,6751b3a8a71ffd38fcc42f9c8ef2c50fcad19589,Météo,20220101195500,5
c192,833ce1f5c0498df44d8d3e242991e26ff966886e,Journal,20220101200000,40
c192,ec5b41972a4d86bf2905a45da10c59adee30811b,Habitons demain,20220101204000,5
c192,9a77bd96913920e11ccb4f6af0a6af033ce99925,Tirage du Loto,20220101204500,10
c192,f4b0601b478faf1cc58738a26c3b2571899bf25b,Petits plats en équilibre,20220101205500,5
c192,6751b3a8a71ffd38fcc42f9c8ef2c50fcad19589,Météo,20220101210000,5
c192,b64dc005b83d779c3594b94aaa60e6bab20743df,Charlie et la chocolaterie,20220101210500,155
c192,b3889fd3a945b5199fcdcd25b3db9fde95733a84,"Vendredi, tout est permis avec Arthur",20220101234000,125
c192,40879f1ca12bf114909787b75ffe63b7f9d9ca46,TFou,20220102063000,215
c192,dc9ec1032c0bf9e1560a228828f1377772b2d49a,Automoto,20220102100500,55
c192,2e1e5810b9611296a3f2973851f49f2d2a4d85cf,Les douze coups de midi,20220102120000,50
c192,6751b3a8a71ffd38fcc42f9c8ef2c50fcad19589,Météo,20220102125000,5
c192,ec5b41972a4d86bf2905a45da10c59adee30811b,Habitons demain,20220102125500,5
c192,833ce1f5c0498df44d8d3e242991e26ff966886e,Journal,20220102130000,40
c192,ed9df14ad6f3044d9f24795025f320767d4e25e5,Reportages découverte,20220102134000,70
c192,038f66643efec2e8c69144278aaad6950abffbba,Grands reportages,20220102145000,80
c192,7f192757276c066b6755afe8bc104249d37d52e9,Les docs du week-end,20220102161000,65
c192,aa161dd20e9c1ec69b7e6c8da62597aa482c9f2d,Sept à huit,20220102181500,95
c192,f4b0601b478faf1cc58738a26c3b2571899bf25b,Petits plats en équilibre,20220102195000,10
c192,833ce1f5c0498df44d8d3e242991e26ff966886e,Journal,20220102200000,40
c192,ec5b41972a4d86bf2905a45da10c59adee30811b,Habitons demain,20220102204000,10
c192,f4b0601b478faf1cc58738a26c3b2571899bf25b,Petits plats en équilibre,20220102205000,5
c192,6751b3a8a71ffd38fcc42f9c8ef2c50fcad19589,Météo,20220102205500,10
c192,f7b2a7031a674c78d6b5681ab159e5217573560b,Kong : Skull Island,20220102210500,135
c192,7b94c52d2881aad0e6f13d8b28373927e511b9a8,Jurassic Park,20220102232000,140
c192,40879f1ca12bf114909787b75ffe63b7f9d9ca46,TFou,20220103063000,115
c192,6751b3a8a71ffd38fcc42f9c8ef2c50fcad19589,Météo,20220103082500,5
c192,47fe7e80565a5c4e809b0f39c731ce7f62c37d18,Téléshopping,20220103083000,50
c192,6751b3a8a71ffd38fcc42f9c8ef2c50fcad19589,Météo,20220103092000,5
c192,7c2371889915e271044d61c6612e57fe93806e02,Familles nombreuses : la vie en XXL,20220103092500,30
c192,7c2371889915e271044d61c6612e57fe93806e02,Familles nombreuses : la vie en XXL,20220103095500,30
c192,7c2371889915e271044d61c6612e57fe93806e02,Familles nombreuses : la vie en XXL,20220103102500,35
c192,e4c8abc34333e74eab551e313c4c9a345219bbb1,Les feux de l'amour,20220103110000,55
